zipcode,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,total_price,price_log
90717,House,Private room,2,1.0,1.0,1.0,Real Bed,195.0,5.272999558563747
90274,Villa,Entire home/apt,10,2.5,5.0,4.0,Real Bed,1390.0,7.237059026124737
90710,House,Entire home/apt,6,1.0,2.0,3.0,Real Bed,288.0,5.662960480135946
90503,House,Entire home/apt,9,2.0,4.0,7.0,Real Bed,316.0,5.755742213586912
90012,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,175.0,5.1647859739235145
90012,Apartment,Entire home/apt,5,1.0,2.0,2.0,Real Bed,224.0,5.41164605185504
90274,House,Entire home/apt,7,4.0,5.0,4.0,Real Bed,1850.0,7.52294091807237
90501,House,Entire home/apt,11,4.0,5.0,6.0,Real Bed,599.0,6.395261598115449
90014,Loft,Entire home/apt,3,1.0,0.0,2.0,Real Bed,180.0,5.1929568508902095
90247,House,Private room,2,1.0,1.0,1.0,Real Bed,55.0,4.007333185232471
90303,House,Private room,2,1.0,1.0,1.0,Real Bed,65.0,4.174387269895637
90250,Apartment,Private room,2,2.0,1.0,1.0,Real Bed,61.0,4.110873864173311
90249,House,Private room,1,1.5,1.0,1.0,Real Bed,69.0,4.23410650459726
90278,Bungalow,Private room,1,1.0,1.0,1.0,Real Bed,75.0,4.31748811353631
90303,Hotel,Private room,2,1.0,1.0,1.0,Real Bed,85.0,4.442651256490317
90260,House,Private room,2,1.0,1.0,1.0,Real Bed,89.0,4.48863636973214
90043,House,Private room,1,1.0,1.0,1.0,Futon,75.0,4.31748811353631
90505,Cottage,Entire home/apt,8,2.0,4.0,4.0,Real Bed,350.0,5.857933154483459
90305,House,Private room,2,1.0,1.0,1.0,Real Bed,50.0,3.912023005428147
90303,House,Private room,3,1.0,1.0,1.0,Real Bed,64.0,4.158883083359672
90012,Condominium,Entire home/apt,6,2.0,2.0,3.0,Real Bed,220.0,5.393627546352363
90248,House,Private room,2,1.0,1.0,1.0,Real Bed,50.0,3.912023005428147
90012,Condominium,Entire home/apt,6,2.5,2.0,3.0,Real Bed,220.0,5.393627546352363
90278,Townhouse,Private room,1,1.0,1.0,1.0,Real Bed,65.0,4.174387269895637
90012,Loft,Entire home/apt,2,1.0,1.0,1.0,Real Bed,280.0,5.634789603169249
90012,Apartment,Entire home/apt,4,1.5,1.0,3.0,Real Bed,158.0,5.062595033026967
90501,House,Private room,2,1.0,1.0,1.0,Real Bed,109.0,4.691347882229144
90277,House,Entire home/apt,14,8.0,7.0,8.0,Real Bed,4750.0,8.465899897028686
90303,House,Private room,2,1.0,1.0,1.0,Real Bed,65.0,4.174387269895637
90013,Loft,Entire home/apt,7,1.0,3.0,3.0,Real Bed,250.0,5.521460917862246
90012,Apartment,Entire home/apt,4,1.5,1.0,3.0,Real Bed,177.0,5.17614973257383
90275,Guesthouse,Entire home/apt,7,2.5,4.0,3.0,Real Bed,350.0,5.857933154483459
90260,House,Private room,2,1.0,1.0,1.0,Real Bed,103.0,4.634728988229637
90260,Bungalow,Private room,1,1.0,1.0,1.0,Real Bed,33.0,3.49650756146648
90504,House,Private room,2,1.0,1.0,1.0,Real Bed,90.0,4.499809670330264
90274,Villa,Entire home/apt,8,7.0,6.0,8.0,Real Bed,1399.0,7.243512974665482
90504,House,Private room,2,1.0,1.0,1.0,Real Bed,100.0,4.605170185988092
90260,House,Private room,2,1.0,1.0,1.0,Real Bed,65.0,4.174387269895637
90275,House,Private room,1,1.5,1.0,1.0,Real Bed,80.0,4.382026634673881
90503,Guest suite,Private room,2,1.0,0.0,0.0,Real Bed,120.0,4.787491742782046
90275,House,Private room,2,1.0,1.0,2.0,Real Bed,83.0,4.418840607796597
90732,House,Entire home/apt,5,2.0,3.0,3.0,Real Bed,250.0,5.521460917862246
90802,Condominium,Entire home/apt,4,2.0,2.0,2.0,Real Bed,500.0,6.214608098422191
90012,Apartment,Entire home/apt,2,1.0,0.0,1.0,Real Bed,255.0,5.541263545158426
90013,Apartment,Entire home/apt,4,1.0,0.0,1.0,Real Bed,240.0,5.48063892334199
90802,Condominium,Entire home/apt,4,1.0,1.0,2.0,Real Bed,230.0,5.4380793089231965
91601,Bungalow,Entire home/apt,5,1.0,1.0,1.0,Real Bed,359.0,5.883322388488279
90813,Loft,Entire home/apt,8,1.0,1.0,4.0,Real Bed,312.0,5.7430031878094825
90802,Loft,Entire home/apt,6,1.0,2.0,1.0,Real Bed,250.0,5.521460917862246
91505,House,Entire home/apt,6,2.0,3.0,4.0,Real Bed,620.0,6.429719478039137
90803,Apartment,Private room,2,1.0,1.0,0.0,Real Bed,110.0,4.700480365792417
90731,Guesthouse,Entire home/apt,1,1.0,0.0,1.0,Real Bed,123.0,4.812184355372417
90275,Villa,Entire home/apt,8,3.5,3.0,4.0,Real Bed,2155.0,7.675546002537848
90012,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,101.0,4.61512051684126
90012,Apartment,Private room,3,1.0,1.0,2.0,Real Bed,125.0,4.8283137373023015
90012,Apartment,Private room,3,1.0,1.0,1.0,Real Bed,92.0,4.5217885770490405
90503,House,Private room,1,1.0,1.0,1.0,Real Bed,43.0,3.7612001156935615
90066,Apartment,Entire home/apt,4,2.0,2.0,3.0,Real Bed,280.0,5.634789603169249
90292,Apartment,Entire home/apt,2,1.0,1.0,0.0,Real Bed,199.0,5.293304824724492
90292,Apartment,Entire home/apt,2,1.0,0.0,1.0,Real Bed,304.0,5.717027701406223
90066,House,Entire home/apt,4,1.0,1.0,1.0,Real Bed,283.0,5.645446897643237
90292,Condominium,Entire home/apt,4,2.0,2.0,2.0,Real Bed,545.0,6.300785794663245
90291,Guest suite,Entire home/apt,4,1.0,1.0,2.0,Real Bed,215.0,5.3706380281276624
90292,Apartment,Entire home/apt,6,2.0,2.0,3.0,Real Bed,266.0,5.583496308781699
90291,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,265.0,5.579729825986222
90291,Townhouse,Shared room,1,3.5,1.0,2.0,Real Bed,55.0,4.007333185232471
90291,Townhouse,Entire home/apt,8,2.0,2.0,5.0,Real Bed,325.0,5.783825182329737
90017,Apartment,Entire home/apt,4,1.0,1.0,1.0,Real Bed,336.0,5.817111159963203
90291,Townhouse,Shared room,2,1.0,1.0,1.0,Real Bed,55.0,4.007333185232471
90017,Apartment,Entire home/apt,7,2.0,2.0,2.0,Real Bed,328.0,5.793013608384143
90291,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,345.0,5.843544417031361
90291,Apartment,Entire home/apt,9,2.5,3.0,5.0,Real Bed,484.0,6.182084906716633
90403,Condominium,Entire home/apt,6,2.0,3.0,4.0,Real Bed,399.0,5.988961416889863
